year,event_name,topic,sessions,example_session,example_url
2021,Identiverse,identity_management,2,Back to Main Agenda,https://identiverse.com/idv26/session?idvid=3931724
2021,Identiverse,privacy_and_risk,2,Back to Main Agenda,https://identiverse.com/idv26/session?idvid=3931724
2022,Identiverse,privacy_and_risk,1,Registration Closed: Identiverse 2023,https://events.identiverse.com/identiverse2023/registration-closed
2023,Identiverse,privacy_and_risk,17,Recording,https://events.identiverse.com/identiverse2023
2023,Identiverse,identity_representation,7,Recording,https://events.identiverse.com/identiverse2023
2023,Identiverse,access_governance,4,Recording,https://events.identiverse.com/identiverse2023
2023,Identiverse,identity_management,2,Recording,https://events.identiverse.com/identiverse2023
2023,Identiverse,inclusion_and_diversity,1,Recording,https://events.identiverse.com/identiverse2023
2024,Identiverse,privacy_and_risk,3,Back to Main Agenda,https://identiverse.com/idv26/session?idvid=3931796
2025,Identiverse,privacy_and_risk,10,Details >,https://identiverse.com/idv26/agenda
2025,Identiverse,identity_management,3,Details >,https://identiverse.com/idv26/agenda
2025,Identiverse,access_governance,1,Details >,https://identiverse.com/idv26/agenda
2025,Identiverse,ai_and_automation,1,Details >,https://identiverse.com/idv26/agenda
2025,Identiverse,identity_representation,1,Details >,https://identiverse.com/idv26/agenda
2026,Identiverse,ai_and_automation,340,Workshops + Summit,https://identiverse.com/session
2026,Identiverse,privacy_and_risk,274,Back to Main Agenda,https://identiverse.com/idv26/agenda
2026,Identiverse,identity_management,117,Back to Main Agenda,https://identiverse.com/idv26/session?idvid=3931750
2026,Identiverse,access_governance,46,Back to Main Agenda,https://identiverse.com/idv26/session?idvid=3931725
2026,Identiverse,identity_representation,35,Back to Main Agenda,https://identiverse.com/idv26/session?idvid=3931715
2026,Identiverse,inclusion_and_diversity,4,Back to Main Agenda,https://identiverse.com/idv26/session?idvid=3931759
